Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,complete your look (product.metafields.custom.complete_your_look),Gender (product.metafields.custom.gender),Manufacture Date (product.metafields.custom.manufacture_date),Myntra Specs Info (product.metafields.custom.myntra_specs_info),new launch (product.metafields.custom.new_launch),product-discount (product.metafields.custom.product_discount),Season (product.metafields.custom.season),Merged Product (product.metafields.merges.product_merged),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),First steps/crawlers style (product.metafields.shopify.first-steps-crawlers-style),Footwear material (product.metafields.shopify.footwear-material),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
Kids-Unisex-Multicolour-Teddy-Bear-Plush-Toy-with-Ultra-Soft-Feel-for-Happy-Playtime-Fun,Kids Unisex Multicolour Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,35 CM,,,,,,,,PURPLE008060,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003963,,,,FALSE,Kids Unisex Multicolour Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Kids-Unisex-Pink-Teddy-Bear-Plush-Toy-with-Ultra-Soft-Feel-for-Happy-Playtime-Fun,Kids Unisex Pink Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,35 CM,,,,,,,,PURPLE008061,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003963,,,,FALSE,Kids Unisex Pink Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Kids-Unisex-Brown-Teddy-Bear-Plush-Toy-with-Ultra-Soft-Feel-for-Happy-Playtime-Fun,Kids Unisex Brown Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,35 CM,,,,,,,,PURPLE008062,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003963,,,,FALSE,Kids Unisex Brown Teddy Bear Plush Toy with Ultra Soft Feel for Happy Playtime Fun,"Bring home cuddly comfort with the Purple United Kids Teddy Bear Soft Toy, thoughtfully designed for little ones who adore cute toys and plush companions. Crafted in a soothing shade with adorable colour accents, this teddy bear toy features a charming “Happy Birthday” heart detail that adds a playful and lovable touch.
Made with ultra-soft plush fabric, this stuffed toy feels gentle, cozy, and comforting for everyday hugs and snuggles. Whether used during bedtime, playtime, travel, or as nursery décor, this soft toy creates joyful moments while becoming a comforting companion for kids. Its lightweight and huggable design makes it easy for little hands to carry and cuddle all day long.
Perfect for gifting, this plush toy combines adorable styling with the premium quality and playful charm of Purple United Kids. A delightful addition to kids toys collections, soft toys for girls, soft toys for baby boy, and stuffed toys lovers.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Purple-United-Kids-Dreamy-Pink-Teddy-Plush-Soft-Toy-for-Little-Joyful-&-Fun-Moments,Purple United Kids Dreamy Pink Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,30 CM,,,,,,,,PURPLE008063,200,shopify,,deny,manual,1299,1299,TRUE,TRUE,,,,,PUTOYA003964,,,,FALSE,Purple United Kids Dreamy Pink Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Purple-United-Kids-Dreamy-Blue-Teddy-Plush-Soft-Toy-for-Little-Joyful-&-Fun-Moments, Purple United Kids Dreamy Blue Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,30 CM,,,,,,,,PURPLE008064,200,shopify,,deny,manual,1299,1299,TRUE,TRUE,,,,,PUTOYA003964,,,,FALSE, Purple United Kids Dreamy Blue Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Purple-United-Kids-Dreamy-Green-Teddy-Plush-Soft-Toy-for-Little-Joyful-&-Fun-Moments, Purple United Kids Dreamy Green Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,30 CM,,,,,,,,PURPLE008065,200,shopify,,deny,manual,1299,1299,TRUE,TRUE,,,,,PUTOYA003964,,,,FALSE, Purple United Kids Dreamy Green Teddy Plush Soft Toy for Little Joyful & Fun Moments,"Add playful charm and premium softness to your little one’s collection with this adorable teddy bear plush soft toy from Purple United Kids. Designed with a fluffy plush texture, sweet teddy face, and a stylish rainbow bow, this soft toy creates a cheerful and lovable companion for kids during playtime, bedtime, and relaxing moments.
Crafted using premium plush fabric with soft fluffy filling, this teddy plush delivers a gentle and comforting touch that kids will love to hug and carry everywhere. The lightweight and huggable design makes it perfect for nursery décor, imaginative play, travel companionship, and cozy everyday fun while encouraging playful interaction and joyful moments.
The detailed finishing, soft-touch texture, and premium stitching enhance the teddy’s adorable appearance while helping maintain durability and plush softness even after regular play. Whether used as a gifting option, room décor accent, or lovable plush companion, this teddy soft toy combines comfort, cuteness, and premium quality in every detail.
The package includes 1 teddy bear plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush fabric soft, fresh, and fluffy for long-lasting playtime enjoyment.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Kids-Unisex-Pink-Giraffe-Plush-Soft-Toy-with-Ultra-Soft-Feel-for-Playtime-&-Cuddle-Fun,Kids Unisex Pink Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,45 CM,,,,,,,,PURPLE008069,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003966,,,,FALSE,Kids Unisex Pink Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Kids-Unisex-Yellow-Giraffe-Plush-Soft-Toy-with-Ultra-Soft-Feel-for-Playtime-&-Cuddle-Fun,Kids Unisex Yellow Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,45 CM,,,,,,,,PURPLE008070,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003966,,,,FALSE,Kids Unisex Yellow Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Kids-Unisex-Grey-Giraffe-Plush-Soft-Toy-with-Ultra-Soft-Feel-for-Playtime-&-Cuddle-Fun,Kids Unisex Grey Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,45 CM,,,,,,,,PURPLE008071,200,shopify,,deny,manual,1499,1499,TRUE,TRUE,,,,,PUTOYA003966,,,,FALSE,Kids Unisex Grey Giraffe Plush Soft Toy with Ultra Soft Feel for Playtime & Cuddle Fun,"Add playful charm and cuddly comfort to your little one’s world with the Purple United Kids Giraffe Soft Toy. Designed in a soothing pink shade with adorable pastel detailing, this plush toy features a cute giraffe-inspired silhouette, embroidered floral accents, and a soft premium finish that kids will instantly love.
Crafted with ultra-soft plush fabric, this stuffed toy feels gentle on delicate skin while offering cozy comfort during bedtime, playtime, travel, or relaxation. Its lightweight and easy-to-carry design allows kids to hug, hold, and enjoy their favorite companion wherever they go. The long-neck giraffe styling adds a fun and unique character-inspired appeal, making it a standout addition to kids toys collections.
Perfect for imaginative play, nursery decoration, cuddling, and gifting, this cute soft toy combines comfort, playful design, and the premium quality styling of Purple United Kids. A lovable choice for kids toys for girls, soft toys for baby, plush toys lovers, and toddlers who enjoy adorable animal toys.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
Purple-United-Kids-Pink-Elephant-Soft-Toy-Plush-for-Soft-Play-with-Dreamy-Pastel-Wings,Purple United Kids Pink Elephant Soft Toy Plush for Soft Play with Dreamy Pastel Wings,"Bring home playful imagination and premium softness with this adorable Elephant Plush Soft Toy from Purple United Kids. Designed with a cheerful elephant character, pastel multicolor wings, floppy ears, blush pink cheeks, and soft embroidered details, this plush companion adds charm and joyful energy to every kid’s collection.
Made with ultra-soft plush fabric and fluffy filling, this elephant soft toy delivers a comforting touch that kids will love during playtime, bedtime, travel, and cozy relaxing moments. The lightweight and huggable design makes it easy for little ones to carry around while enjoying imaginative play and interactive fun throughout the day.
The premium stitching and detailed craftsmanship enhance durability while maintaining the plush softness and adorable shape even after regular use. Whether styled as nursery décor, gifted for special occasions, or added to a growing plush collection, this cute elephant soft toy combines comfort, creativity, and playful premium styling in every detail.
The package includes 1 elephant plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush texture soft, fluffy, and fresh for long-lasting enjoyment.",Purple United Kids,Toys & Games,Soft Toys,"Girls, Boys, Infants, Apparel, Soft Toys",TRUE,Size In CM,45 CM,,,,,,,,PURPLE008072,200,shopify,,deny,manual,1699,1699,TRUE,TRUE,,,,,PUTOYA003967,,,,FALSE,Purple United Kids Pink Elephant Soft Toy Plush for Soft Play with Dreamy Pastel Wings,"Bring home playful imagination and premium softness with this adorable Elephant Plush Soft Toy from Purple United Kids. Designed with a cheerful elephant character, pastel multicolor wings, floppy ears, blush pink cheeks, and soft embroidered details, this plush companion adds charm and joyful energy to every kid’s collection.
Made with ultra-soft plush fabric and fluffy filling, this elephant soft toy delivers a comforting touch that kids will love during playtime, bedtime, travel, and cozy relaxing moments. The lightweight and huggable design makes it easy for little ones to carry around while enjoying imaginative play and interactive fun throughout the day.
The premium stitching and detailed craftsmanship enhance durability while maintaining the plush softness and adorable shape even after regular use. Whether styled as nursery décor, gifted for special occasions, or added to a growing plush collection, this cute elephant soft toy combines comfort, creativity, and playful premium styling in every detail.
The package includes 1 elephant plush soft toy. Easy to maintain with gentle surface cleaning or hand wash to keep the plush texture soft, fluffy, and fresh for long-lasting enjoyment.",Toys & Games,Soft Toys,,,,,,,,,,,Unisex,2026,"Items Included in Packaging: 1 Soft Toys
Commodity : Soft Toy",NEW LAUNCH,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
